City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Saldanha,ZA,-33.0117,17.9442,46.45,69,0,4.97,clear sky
80,Kichera,RU,55.9375,110.0997,56.86,99,92,2.86,overcast clouds
81,Castro,BR,-24.7911,-50.0119,57.97,78,44,3.02,scattered clouds
82,Kapaa,US,22.0752,-159.319,85.98,63,40,13.8,scattered clouds
83,Marsh Harbour,BS,26.5412,-77.0636,82.44,72,13,10.98,few clouds
84,Ayia Galini,GR,35.1,24.6833,74.84,47,0,5.73,clear sky
85,Norman Wells,CA,65.282,-126.8329,66.24,42,75,5.75,broken clouds
86,Bairiki,KI,1.3292,172.9752,86.0,70,75,13.8,broken clouds
87,Alofi,NU,-19.0595,-169.9187,80.49,74,75,16.11,light intensity shower rain
88,Mataura,NZ,-46.1927,168.8643,47.48,99,100,2.75,light rain
89,Bredasdorp,ZA,-34.5322,20.0403,49.23,90,0,5.68,clear sky
90,Korla,CN,41.7597,86.1469,82.96,22,28,7.47,scattered clouds
91,Esperance,AU,-33.8667,121.9,53.62,66,10,17.31,clear sky
92,Vardo,NO,70.3705,31.1107,53.58,94,100,10.36,overcast clouds
93,Chokurdakh,RU,70.6333,147.9167,57.4,39,57,13.13,broken clouds
94,Khvastovichi,RU,53.4694,35.0941,62.42,94,28,3.56,scattered clouds
95,Redmond,US,47.674,-122.1215,97.09,47,54,4.0,broken clouds
96,Carnarvon,AU,-24.8667,113.6333,70.72,49,100,3.49,overcast clouds
97,Torbay,CA,47.6666,-52.7314,66.97,83,40,11.5,scattered clouds
98,Linxia,CN,35.6003,103.2064,63.73,54,13,2.82,few clouds
99,Baoying,CN,33.2292,119.3092,81.54,87,52,5.57,broken clouds
100,Hithadhoo,MV,-0.6,73.0833,82.2,73,100,12.12,overcast clouds
101,Alice Springs,AU,-23.7,133.8833,51.35,37,17,0.0,few clouds
102,Taonan,CN,45.3333,122.7833,74.59,83,100,10.07,moderate rain
103,Cherskiy,RU,68.75,161.3,53.65,48,61,2.53,broken clouds
104,Guerrero Negro,MX,27.9769,-114.0611,75.56,63,30,16.15,scattered clouds
105,Cape Town,ZA,-33.9258,18.4232,60.39,74,0,3.44,clear sky
106,Ketchikan,US,55.3422,-131.6461,79.27,38,0,13.8,clear sky
107,Kahului,US,20.8947,-156.47,87.82,60,20,25.32,few clouds
108,Payo,ID,-3.7508,103.6372,73.74,95,99,1.07,overcast clouds
109,Male,MV,4.1748,73.5089,82.35,83,75,9.22,light rain
110,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,83,0,10.36,clear sky
111,Yellowknife,CA,62.456,-114.3525,66.72,72,75,12.66,broken clouds
112,Klaksvik,FO,62.2266,-6.589,52.72,94,99,13.35,overcast clouds
113,Elat,IL,29.5581,34.9482,84.04,30,0,11.5,clear sky
114,Sinnamary,GF,5.3833,-52.95,78.49,83,91,4.81,overcast clouds
115,Hambantota,LK,6.1241,81.1185,78.12,80,99,3.85,moderate rain
116,Kon Tum,VN,14.35,108.0,71.73,93,84,1.12,broken clouds
117,Katherine,AU,-14.4667,132.2667,70.12,30,46,14.97,scattered clouds
118,Kangaatsiaq,GL,68.3065,-53.4641,40.96,90,89,8.28,overcast clouds
119,Balsas,BR,-7.5325,-46.0356,78.21,39,13,1.52,few clouds
120,Saskylakh,RU,71.9167,114.0833,66.52,69,95,11.32,overcast clouds
121,Bathsheba,BB,13.2167,-59.5167,81.21,87,40,18.41,scattered clouds
122,Mahajanga,MG,-15.7167,46.3167,64.42,100,0,2.3,clear sky
123,Trairi,BR,-3.2778,-39.2689,78.76,77,99,11.16,overcast clouds
124,Codrington,AU,-38.2667,141.9667,48.96,80,79,7.58,broken clouds
125,Ossora,RU,59.2353,163.0719,56.05,75,96,2.3,light rain
126,Srednekolymsk,RU,67.45,153.6833,51.57,50,97,10.4,overcast clouds
127,Camacupa,AO,-12.0167,17.4833,54.32,34,100,4.09,overcast clouds
128,Boyolangu,ID,-8.1181,111.8935,74.26,91,74,3.42,broken clouds
129,Nyuksenitsa,RU,60.4128,44.2397,60.67,98,7,5.14,clear sky
130,Evensk,RU,61.95,159.2333,56.84,56,85,2.68,overcast clouds
131,La Tuque,CA,47.4334,-72.7824,73.65,64,100,2.3,overcast clouds
132,Constitucion,CL,-35.3333,-72.4167,49.66,82,4,2.46,clear sky
133,Cockburn Town,TC,21.4612,-71.1419,82.36,69,40,13.8,scattered clouds
134,Lebu,CL,-37.6167,-73.65,49.21,87,45,6.51,scattered clouds
135,Camacha,PT,33.0833,-16.3333,67.42,78,40,12.66,scattered clouds
136,Yarkovo,RU,57.4028,67.0786,57.99,75,100,8.61,overcast clouds
137,Half Moon Bay,US,37.4636,-122.4286,84.06,69,75,24.16,broken clouds
138,Taltal,CL,-25.4,-70.4833,60.82,78,98,5.14,overcast clouds
139,Upernavik,GL,72.7868,-56.1549,40.3,84,100,0.87,overcast clouds
140,Darhan,MN,49.4867,105.9228,58.3,69,79,2.62,broken clouds
141,Geraldton,AU,-28.7667,114.6,57.61,77,100,12.66,overcast clouds
