City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Tiksi,RU,71.6872,128.8694,54.19,74,100,2.28,overcast clouds
112,Lethem,GY,3.3803,-59.7968,74.84,91,100,5.79,light rain
113,Bredasdorp,ZA,-34.5322,20.0403,49.12,94,23,5.64,few clouds
114,Salalah,OM,17.0151,54.0924,75.29,100,100,6.91,overcast clouds
115,Alasehir,TR,38.3508,28.5172,71.08,46,0,2.06,clear sky
116,Dunedin,NZ,-45.8742,170.5036,46.63,96,100,9.48,overcast clouds
117,Hovd,MN,48.0056,91.6419,64.0,33,4,4.27,clear sky
118,Westport,US,41.1415,-73.3579,74.86,84,94,1.01,overcast clouds
119,Codrington,AU,-38.2667,141.9667,56.05,79,100,14.56,overcast clouds
120,Crib Point,AU,-38.35,145.2,55.27,95,48,14.9,scattered clouds
121,Owando,CG,-0.4819,15.8999,70.47,88,97,3.09,overcast clouds
122,Kalianget,ID,-7.05,113.9333,81.99,69,4,5.41,clear sky
123,San Lazaro,BZ,18.0387,-88.6622,75.72,93,61,4.79,broken clouds
124,Avarua,CK,-21.2078,-159.775,75.25,60,60,14.97,broken clouds
125,Ilulissat,GL,69.2167,-51.1,42.82,93,100,5.75,overcast clouds
126,Gorontalo,ID,0.5412,123.0595,81.91,85,92,3.71,moderate rain
127,Saint Anthony,US,45.0205,-93.218,74.14,85,95,12.84,moderate rain
128,Araouane,ML,18.9048,-3.5265,95.72,11,98,9.42,overcast clouds
129,Rosarito,MX,32.3333,-117.0333,79.23,73,15,10.54,few clouds
130,Honolulu,US,21.3069,-157.8583,81.3,75,11,22.68,few clouds
131,Georgetown,MY,5.4112,100.3354,84.13,79,20,4.61,thunderstorm
132,Krivodol,BG,43.3744,23.4844,73.33,39,18,3.87,few clouds
133,Vardo,NO,70.3705,31.1107,57.18,100,100,10.36,overcast clouds
134,Souillac,MU,-20.5167,57.5167,68.41,80,15,10.85,few clouds
135,Chardara,KZ,41.2547,67.9692,81.27,42,18,14.25,few clouds
136,Vao,NC,-22.6667,167.4833,68.81,65,0,9.24,clear sky
137,Lebu,CL,-37.6167,-73.65,51.03,85,66,14.12,broken clouds
138,Suhbaatar,MN,50.2314,106.2078,63.52,56,100,6.82,overcast clouds
139,Idritsa,RU,56.3316,28.8988,61.16,89,100,4.23,overcast clouds
140,Waitara,NZ,-38.925,174.25,57.49,84,99,19.93,light rain
141,Broome,US,42.2506,-75.833,64.69,86,9,2.35,clear sky
142,Dingle,PH,10.9995,122.6711,86.13,73,87,10.47,overcast clouds
143,Ambilobe,MG,-13.2,49.05,66.52,84,94,3.83,overcast clouds
144,Kuching,MY,1.55,110.3333,77.22,94,40,5.01,light rain
145,Constitucion,CL,-35.3333,-72.4167,50.95,92,97,5.19,overcast clouds
146,Bridlicna,CZ,49.9117,17.3711,57.52,95,53,2.98,broken clouds
147,East London,ZA,-33.0153,27.9116,64.9,46,30,8.52,scattered clouds
148,Tuktoyaktuk,CA,69.4541,-133.0374,51.87,72,55,21.59,broken clouds
149,Ghanzi,BW,-21.5667,21.7833,56.59,43,1,10.56,clear sky
150,Saint-Philippe,RE,-21.3585,55.7679,65.79,85,58,11.79,light rain
151,Boyolangu,ID,-8.1181,111.8935,79.07,76,79,6.06,broken clouds
152,Limbe,CM,4.0242,9.2149,74.89,88,83,3.0,light rain
153,Urengoy,RU,65.9667,78.3667,59.27,61,20,11.9,few clouds
154,Dordrecht,NL,51.81,4.6736,59.99,84,4,3.8,clear sky
155,Pimentel,PE,-6.8367,-79.9342,62.56,86,100,15.12,overcast clouds
156,Gerede,TR,40.8008,32.1969,51.22,81,0,3.4,clear sky
157,Faya,SA,18.3851,42.4509,63.12,61,100,5.08,overcast clouds
158,Ustka,PL,54.5805,16.8619,52.65,61,78,16.35,broken clouds
159,Lasa,IT,46.6166,10.7002,60.69,91,100,2.26,overcast clouds
160,Wadi Musa,JO,30.3222,35.4793,68.02,32,0,3.44,clear sky
161,Warrnambool,AU,-38.3833,142.4833,55.8,79,98,16.8,overcast clouds
162,Shashi,CN,30.3072,112.2447,86.4,80,97,3.74,overcast clouds
163,Zhicheng,CN,30.2956,111.5047,85.15,82,76,3.67,broken clouds
164,Jumla,NP,29.2747,82.1838,63.3,92,100,1.32,overcast clouds
165,Magdagachi,RU,53.45,125.8,84.54,47,88,8.05,overcast clouds
166,Manbij,SY,36.5281,37.9549,77.9,41,0,11.3,clear sky
167,Beidao,CN,34.5686,105.8933,73.06,60,92,2.37,overcast clouds
168,Tiarei,PF,-17.5333,-149.3333,80.62,81,65,12.12,light rain
169,Torbay,CA,47.6666,-52.7314,68.76,90,100,14.85,overcast clouds
170,Itoman,JP,26.1247,127.6694,89.98,84,20,12.66,few clouds
171,Newark,US,40.7357,-74.1724,79.14,57,75,11.5,broken clouds
172,Arraial Do Cabo,BR,-22.9661,-42.0278,70.3,86,0,16.28,clear sky
173,Cumbum,IN,9.7333,77.3,75.61,82,85,2.48,overcast clouds
174,Carnarvon,AU,-24.8667,113.6333,68.07,34,100,5.37,overcast clouds
175,Oktyabrskoye,RU,43.0645,44.7417,60.94,88,100,2.24,light rain
176,Anadyr,RU,64.75,177.4833,48.7,87,75,17.0,light rain
177,Tchamba,TG,9.0333,1.4167,69.94,98,99,3.29,light rain
178,Airai,TL,-8.9266,125.4092,69.71,44,60,5.32,broken clouds
179,Lompoc,US,34.6391,-120.4579,73.54,74,0,12.66,clear sky
